Class Name,API Name,Number of Input Parameter,Input Parameter Types,List of Methods Invoked
Lcom/android/server/notification/NotificationManagerService,getPopulatedNotificationChannelGroupForPackage,5,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Ljava/lang/String>, <Primordial,Z>]","['access$700', 'enforceSystemOrSystemUI', 'getNotificationChannelGroupWithChannels']"
Lcom/android/server/notification/NotificationManagerService,getRecentNotifyingAppsForUser,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>]","['getOrDefault', 'valueOf', '<init>', 'access$2900']"
Lcom/android/server/notification/NotificationManagerService,getRuleInstanceCount,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>]","['checkNotNull', 'enforceSystemOrSystemUI', 'getCurrentInstanceCount']"
Lcom/android/server/notification/NotificationManagerService,getZenMode,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]",['getZenMode']
Lcom/android/server/notification/NotificationManagerService,getZenModeConfig,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]","['enforceSystemOrSystemUI', 'getConfig']"
Lcom/android/server/notification/NotificationManagerService,getZenRules,1,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>]","['getCallingUid', 'getZenRules', 'enforcePolicyAccess']"
Lcom/android/server/notification/NotificationManagerService,isNotificationAssistantAccessGranted,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>]","['checkNotNull', 'flattenToString', 'getCallingUserHandle', 'getIdentifier', 'getPackageName', 'access$1500', 'access$2800', 'isPackageOrComponentAllowed']"
Lcom/android/server/notification/NotificationManagerService,isNotificationListenerAccessGranted,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>]","['checkNotNull', 'flattenToString', 'getCallingUserHandle', 'getIdentifier', 'getPackageName', 'access$2800', 'isPackageOrComponentAllowed', 'access$800']"
Lcom/android/server/notification/NotificationManagerService,isNotificationListenerAccessGrantedForUser,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>, <Primordial,I>]","['checkNotNull', 'flattenToString', 'isPackageOrComponentAllowed', 'access$2900', 'access$800']"
Lcom/android/server/notification/NotificationManagerService,isNotificationPolicyAccessGranted,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]",['checkPolicyAccess']
